country,date_extraction,track_id,streams,album,artist,duration_ms,track_name,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,not_explicit,explicit
Peru,2020-02-08,1clLBqIma442MQQ9FMaaCu,0.02321402695261556,Único,Carlo Supo,0.38377350583231795,Eres Mi Sueño - Salsa,0.599,0.826,0.09090909090909091,0.9037877788042761,1.0,0.039,0.56,0.0033200000000000005,0.331,0.86,0.19398710995020083,1,0
Peru,2020-02-09,7qgpXyeZImEp7JoYt2r2JG,0.013367627880017389,Probablemente,Daniela Darcourt,0.36588617860940154,Ese Estúpido,0.735,0.7859999999999999,0.45454545454545453,0.5177510888214333,1.0,0.0538,0.602,6.7e-06,0.147,0.8029999999999999,0.2008391111637301,1,0
Peru,2020-02-09,0dDboLfmRNsTBscy4j3Rnl,0.011693957397478626,Nibiru,Ozuna,0.198803268891976,Hasta Que Salga el Sol,0.826,0.816,0.09090909090909091,0.7874488583872244,0.0,0.0683,0.0201,0.0009390000000000001,0.127,0.598,0.23028199758774032,1,0
Peru,2020-02-09,4o1DxRjMCHDwBiOKv88rOl,0.011070859295754238,B11 (feat. Myke Towers),"Rvssian,Darell,Zion & Lennox,Myke Towers",0.2972875647065215,B11 (feat. Myke Towers),0.759,0.7170000000000001,0.0,0.7606572522106375,1.0,0.115,0.0672,0.000455,0.131,0.195,0.2591699163108706,1,0
Peru,2020-02-10,2LVWDR1oEthhLIOtT4hHih,0.12267062744529779,SIE7E,Danna Paola,0.18946845581330374,Mala Fama,0.762,0.5820000000000001,0.5454545454545454,0.8352250230962123,0.0,0.0812,0.18600000000000003,5.28e-06,0.0596,0.816,0.8215667848131236,1,0
Peru,2020-02-10,3yOlyBJuViE2YSGn3nVE1K,0.02480799884074772,Romance,"Camila Cabello,DaBaby",0.17127690122699862,My Oh My (feat. DaBaby),0.7240000000000001,0.491,0.7272727272727273,0.6940081826580441,1.0,0.0296,0.018000000000000002,1.29e-05,0.0887,0.38299999999999995,0.29690771997069765,1,0
Peru,2020-02-10,5RClLxkUvnMWFUQ3VAQEHj,0.023257498913200985,Easy Money Baby,Myke Towers,0.15563092253843586,Relación Rota,0.7879999999999999,0.731,0.5454545454545454,0.7508248647221856,0.0,0.14400000000000002,0.544,6.8e-05,0.28600000000000003,0.8290000000000001,0.7046313904530755,0,1
Peru,2020-02-13,41L3O37CECZt3N7ziG2z7l,0.25049992754673234,Yummy,Justin Bieber,0.23286742050895995,Yummy,0.687,0.514,0.8181818181818182,0.6552065461264353,0.0,0.0897,0.366,0.0,0.11599999999999999,0.494,0.5993651169501932,1,0
Peru,2020-02-13,364dI1bYnvamSnBJ8JcNzN,0.06450514418200261,Intentions,"Justin Bieber,Quavo",0.23665784510791535,Intentions,0.8109999999999999,0.5529999999999999,0.8181818181818182,0.6530948924376403,1.0,0.0552,0.317,0.0,0.105,0.86,0.6148524155894126,1,0
Peru,2020-02-13,1v7L65Lzy0j0vdpRjJewt1,0.04013911027387335,Just Lose It,Eminem,0.40640119207456676,"Lose Yourself - From ""8 Mile"" Soundtrack",0.6859999999999999,0.735,0.18181818181818182,0.7869209449650257,1.0,0.264,0.00921,0.00066,0.342,0.0596,0.7875657636725539,0,1
Peru,2020-02-13,2ktoFujjJtantyMoVdBJlX,0.028981307056948267,Pa Olvidarte (feat. Manuel Turizo) [Remix],"ChocQuibTown,Zion & Lennox,Farruko,Manuel Turizo",0.304253750455953,Pa Olvidarte (feat. Manuel Turizo) - Remix,0.7240000000000001,0.7909999999999999,0.6363636363636364,0.734459548634024,1.0,0.16899999999999998,0.0441,6.55e-06,0.239,0.856,0.8220181585431725,1,0
Peru,2020-02-13,6osaMSJh9NguagEDQcZaKx,0.02772062019997102,Carte Blanche,"DJ Snake,J Balvin,Tyga",0.19370280401393858,Loco Contigo (feat. J. Balvin & Tyga),0.6940000000000001,0.758,1.0,0.894483304738023,1.0,0.218,0.278,1.34e-06,0.102,0.371,0.9410032336118034,1,0
Peru,2020-02-14,0wQCKR9OFjYu5Kzrk7WivJ,0.036770033328503114,Más,Alejandro Sanz,0.4392872387486321,Corazón partío,0.648,0.846,0.0,0.6473538339712288,1.0,0.0424,0.19899999999999998,4.23e-06,0.0803,0.815,0.7040986214602307,1,0
Peru,2020-02-14,6kQYMqjobmB8MkWwa9OUyA,0.03219098681350529,Más,Alejandro Sanz,0.3578908972378949,Amiga mía,0.629,0.703,0.18181818181818182,0.769829747921341,1.0,0.0504,0.519,0.0,0.11,0.402,0.5852689373478461,1,0
Peru,2020-02-14,2ZlCGeK30BLRNSPC832pNZ,0.03202434429792784,Changes,"Justin Bieber,Post Malone,Clever",0.24762399981373834,Forever (feat. Post Malone & Clever),0.825,0.483,0.7272727272727273,0.712353174079451,0.0,0.08,0.5379999999999999,1.4800000000000002e-05,0.204,0.892,0.5554042754711673,1,0
